workerid,nonliteral,happy1,sad1,amuse1,content1,disapp1,anger1,regret1,happy2,sad2,amuse2,content2,disapp2,anger2,regret2,response1ReactionTime,response2ReactionTime,freeResponseReactionTime,consent,ventingResponseLength,ventingResponse,gender,age,nativeLanguage
48,1,1,2,1,1,8,8,1,1,8,1,1,9,8,2,19451,14076,128290,1,528,My brother ended up getting angry at me and not talking to me anymore because I told my mother off. I am 13 years older than my brother and he fully doesn't understand what happened. I tried to tell him; but he stuck up for her and always would. So he wrote me a message on Facebook; cussing me out and told me to stay out of this life. It made me angry and saddened me because I was there for him growing up. I raised him and did everything for him while my mother wasn't around. I couldn't believe he could treat me like that.,F,31,English
49,1,1,1,9,1,1,9,1,1,1,1,9,9,9,1,19203,11467,119531,1,383,Well I was cooking for my parents because they asked me to. And I was boiling some mashed potatoes and cooking meat on low heat. I go to my room for a few minutes and I come back to my dad raising the heat on high and cutting in to the meat and letting all the juice escape. He said the meat wasn't cooked even though I knew what I was doing and he was a drunk and being belligerant.,M,28,English
50,1,1,7,1,4,9,9,5,1,7,1,3,9,9,5,19404,16469,78091,1,354,Recently on the fourth of July I got into a fight with my mother; and we shouted at each other. I was angry because she was being rude to me; and previously had been rude to my guest. Family gatherings tend to make me more emotional. After we shouted at each other we had to get away from each other for a little while; but things have calmed down since.,M,20,English
51,0,4,1,6,6,1,4,3,1,5,1,1,9,8,6,27437,17723,215505,1,706,I was offered a job that pays $275 for about 35 hours of work. The job was a gig to play violin in the pit of a local production of the musical 'Into the Woods.' Since I don't own a car and I live with my parents; I had to get their permission to use the car. They kept coming up with random excuses as to why I should not accept the job. They told me that $275 was not worth the effort; even though I was the one making that effort and I was the only one capable to make that decision. This made me angry because they were depriving me of a chance to earn money for myself and also because they were trying to tell me what amount of effort was worth it to me; when I'm the one best suited to decide that. ,M,18,English
52,0,1,3,1,1,4,9,3,1,2,1,3,2,9,2,13721,10165,185859,1,423,My wife and I got into a pretty big argument over the weekend. The gist of it is that my brother is going to be moving in with us for a bit (right around the time that we're expecting to have our 2nd kid); and my wife had some concerns about my brother's cleanliness. I thought she was overreacting a little bit; but she wouldn't let it go. She got upset with me for getting upset; and we went around like that for a while.,M,35,English
53,0,5,4,5,4,3,4,6,6,4,5,6,4,4,6,7509,10948,436384,0,308,i felt angry because the guy i love didnt care about me as much as i cared about him. i felt really bad about it and it didnt make him feel good deep down inside either. it made me very upset and i had just had to tell my parents about it. i hated the fact that it happened and i wish it never happened again,F,24,english
54,0,1,4,1,1,7,9,8,1,1,5,4,3,1,1,17773,24176,202838,1,304,my boyfriend cheated on me and I found out about it by the other woman. I was very angry and confronted my boyfriend; who lied about it.I broke up with him and moved on with my life; I was heartbroken for several months. He eventually ended up dating the woman he cheated on me and he cheated on her too.,F,30,english
55,0,5,5,2,5,6,5,5,6,5,2,5,6,6,6,26753,22695,74895,1,287,My wife told me I needed to more careful what I said around her friends. She said I was rude. I couldn't see how I was rude at all. In fact; I am careful to always be considerate. This made me mad and bothered for a while; because I couldn't see any reason she would feel I am like that.,M,54,english
56,0,1,7,1,1,7,3,5,1,7,1,1,5,4,5,19152,14256,185689,1,584,My spouse and I were having a disagreement. The water company came to connect our water at our house; but they wouldn't leave it if something was running. Well we were home when they claimed to have come and didn't turn it on or anything. I had to call the next morning to have them send a tech to our house. They said they would add $10 on the next month's bill. I wasn't pissed about the money but that while I was talking to the dumb bitch on the phone; my spouse is yelling at me. Like I can hear him and her. What the fuck!!! Anyway. I'm done with that before I get pissed again.,F,25,American English
57,1,2,8,1,2,8,8,6,2,8,1,2,8,7,5,18900,16239,105938,1,347,My friend invited me over for dinner. Right before I was ready to leave for her house I got a text message from her. She told me she would leave her car for me and some extra money if I'd feed her kids and babysit them for the night. She wanted to spend the night at her boyfriend's house. So; she completely bailed on the evening we had planned. ,F,40,English
58,1,1,9,1,1,9,9,5,1,9,1,1,9,9,5,16215,10230,264429,0,285,When my alcoholic father came home one night in a drunken rage; he destroyed most of his possessions.  This affected me as well because he destroyed some of my things.  That makes a lot of sense; destroying things needlessly.  Maybe he felt that someone else should suffer as he did?  ,M,33,English
59,0,2,6,2,2,7,7,7,3,6,2,2,6,3,8,13649,12679,102716,1,309,My sister was being very disrespectful to our family and was being condescending to all of us.  We had a big fight and I lost my temper a little bit.  She said a few words that kind of lit the fuse and we had to be separated by my other family members.  We're doing ok now but that was a frightening incident.,M,24,English
60,0,3,6,3,2,6,8,8,3,7,1,1,6,8,8,9251,9088,82505,1,355,I was once ignored by someone when asking them if we could collaborate on a homework assignment together. Later that night; I found out that they had decided to work with someone else instead; choosing to ignore me rather than talk to me honestly. I felt very embarrassed and hurt at the event; as well as anger for having wanted to help the other person.,F,19,English
61,0,1,9,1,1,9,9,9,1,9,1,1,9,1,1,16441,10587,159215,1,365,I got married two years ago. After 20 years of friendship and untold hours on the phone; my best friend couldn't come to my wedding. That's actually not true. She just didn't want to come. She didn't want to get on a plane.  All the things that I had done for her over the years didn't seem to matter.. She was jealous and felt bD about herself and refused to come.,F,38,English
